Strain,Amikacin,Amoxicillin,Amoxicillin+Clavulanic acid,Ampicillin,Ampicillin+Clavulanic acid,Apramycin,Arbekacin,Azithromycin,Benzylkonium Chloride,Cefepime,Cefotaxime,Cefoxitin,Ceftazidime,Cephalothin,Cetylpyridinium Chloride,Chloramphenicol,Chlorhexidine,Ciprofloxacin,Dibekacin,Doxycycline,Erythromycin,Ethidium Bromide,Florfenicol,Fosfomycin,Gentamicin,Isepamicin,Kanamycin,Neomycin,Netilmicin,Piperacillin,Piperacillin+Tazobactam,Pristinamycin IA,Quinupristin,Rifampicin,Sisomicin,Spectinomycin,Spiramycin,Streptomycin,Sulfamethoxazole,Telithromycin,Tetracycline,Ticarcillin,Ticarcillin+Clavulanic acid,Tobramycin,Trimethoprim,Virginiamycin S
gxS61,1.0,1.0,,1.0,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,1.0,,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,
gxS70,1.0,1.0,,1.0,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,1.0,,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,
gxS91,1.0,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,
gxS92,1.0,1.0,,1.0,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,1.0,,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,
gzS46,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,
ha19S19,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ha19S81,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
ha19S99,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,
haS116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
haS117,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
haS118,1.0,1.0,,1.0,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,1.0,,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,
haS188,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hb19S247,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,
hb19S250,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,
hbS115,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,
hnS227,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,
js19S173,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,
js19S192,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,
js19S281,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,
js19S291,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,
jsS8,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,
jx16s40,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,
jx19S116,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,
scS136,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
scS197,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
sdS58,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
sx19S69,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
zj19S193,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,
zj19S197,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,
zjS160,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,
zjS163,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,
zjS179,1.0,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,
zjS237,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,
zjS71,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,
